Link,Image Number,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
https://www.ipmimages.org/image.cfm?imgnum=5565667, 5565667', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Indicator(s)', 'Description:', 'Cast skins of cannabis aphid', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565669, 5565669', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Nymph(s)', 'Description:', 'Cannabis aphid killed by fungal pathogen', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565670, 5565670', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Biological Control', 'Description:', 'Cannabis aphid mummy, killed by a braconid wasp', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],
https://www.ipmimages.org/image.cfm?imgnum=5565672, 5565672', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Biological Control', 'Description:', 'Winged adult cannabis aphid," parasitized by a braconid wasp.  An ""aphid mummy""'", 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],
https://www.ipmimages.org/image.cfm?imgnum=5565673, 5565673', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Biological Control', 'Description:', 'Cannabis aphid mummy with exit hole from braconid parasitoid.', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5556184, 5556184', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Mixed life stages on hemp foliage.', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5556185, 5556185', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Mixed life stages on hemp foliage.', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5556186, 5556186', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Alate adult and nymph.', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5556187, 5556187', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Apterous adults and cast skins.', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5556188, 5556188', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Apterous adults and nymphs.', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5556189, 5556189', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Nymphs', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5556190, 5556190', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Apterous adult', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565652, 5565652', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Adult(s)', 'Description:', 'Wingless adult.', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565653, 5565653', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Adult and nymphs, wingless forms', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],
https://www.ipmimages.org/image.cfm?imgnum=5565654, 5565654', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Mixed life stages on hemp.  Photograph taken September 11, 2017', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],
https://www.ipmimages.org/image.cfm?imgnum=5565655, 5565655', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Heavy infestation with mixed life stages on hemp.  Photograph taken September 11, 2017', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],
https://www.ipmimages.org/image.cfm?imgnum=5565657, 5565657', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Recent winged form colonizers and newly produced nymphs.  Photograph taken September 1', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565658, 5565658', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Heavy infestation early in the season (June 29) ', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565659, 5565659', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Mixed stages on stem.  Photograph taken August 31. 2017', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565660, 5565660', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Nymph(s)', 'Description:', 'Late stage nymph with wing pads', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565661, 5565661', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Adult(s)', 'Description:', 'Winged form female', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565662, 5565662', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Adult(s)', 'Description:', 'Winged form female', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565663, 5565663', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Adult(s)', 'Description:', 'Winged form.  Photograph taken August 31, 2017', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],
https://www.ipmimages.org/image.cfm?imgnum=5565664, 5565664', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Multiple Life Stages', 'Description:', 'Mixed life stages on hemp, with syrphid egg.  Photograph taken September 11, 2017', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)']
https://www.ipmimages.org/image.cfm?imgnum=5565665, 5565665', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Nymph(s)', 'Description:', 'Newly molted nymph.  The discarded skin is to the left', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565666, 5565666', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Indicator(s)', 'Description:', 'Plant with cast skins and honeydew', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
https://www.ipmimages.org/image.cfm?imgnum=5565668, 5565668', 'cannabis aphid (Phorodon cannabis) (Passerini)', 'Photographer:', 'Whitney Cranshaw', 'Organization:', 'Colorado State University', 'Descriptor:', 'Nymph(s)', 'Description:', 'Late stage nymph with wing pads', 'Image type:', 'Field', 'Host:', 'hemp/marijuana (sativa) (Cannabis sativa L)'],,
